Meter Number,Office,n_points,start_time,end_time,final_score_max,final_score_mean,point_iforest_max,dist_iforest,temp_iforest
MMF2420601019815,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,87.79469968596713,73.33034711446133,100.0,100.0,18.63133123978089
SMR2220661014750,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,87.4151395373858,61.37656632003155,100.0,76.48588358899833,99.74868675639385
KFM2020660158500,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,87.03823921754798,83.38427243112416,100.0,100.0,13.588261450319926
KFM2020660179551,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,86.24851274196809,86.2485127419681,100.0,100.0,8.323418279787251
SMR2420661037096,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,86.16368063750625,67.50549105366558,100.0,68.52453874913994,70.70879341842837
KFM2020660075071,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,86.06726298460839,86.06726298460838,100.0,100.0,7.115086564055904
KFM2120660235836,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,85.6991933477938,85.69919334779381,100.0,100.0,4.661288985291965
KFM2020660185764,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,85.01361660719819,77.04184960761057,100.0,67.52547743002788,65.03982252126545
KFM2020660182707,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,85.0,85.0,100.0,100.0,0.0
KFM2020660158606,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,84.95035531919348,71.32854047244909,100.0,68.2345835348498,63.19986839159011
SMR2420668002102,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,84.74202982285657,66.511946123319,100.0,66.23702393854524,65.80615094195329
KFM2120660243757,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,84.06609425521327,64.14486992555585,100.0,83.20213372928819,100.0
SMR2420661037099,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.84512192784351,71.85309057965883,100.0,83.35856720726483,25.583678437760316
MMF2420601047233,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.59236879713478,83.43629889459386,100.0,100.0,100.0
KFM2020660182812,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.58423138158824,66.95978068330605,100.0,74.60926126816959,41.34302000758237
MMF2320601008262,3430,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.51017421517193,81.35717068562172,100.0,100.0,100.0
SMR2420661037081,3420,94,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50104417434548,71.17592403324046,100.0,100.0,100.0
KFM2120660237878,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.5006886652981,83.5003597000783,100.0,100.0,100.0
KFM2120660245506,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.5004504400454,83.50042445456027,100.0,100.0,100.0
MMF2320601008371,3420,95,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50006648693875,81.2543672152478,100.0,100.0,100.0
SMR2420661042767,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50002811948966,72.46126092937362,100.0,100.0,100.0
MMF2420601019746,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50002031393035,73.04716603125733,100.0,100.0,100.0
MMF2320601008362,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50001584438232,68.60478718425783,100.0,100.0,100.0
KFM2020660183041,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50001489669808,78.4815483062629,100.0,100.0,100.0
MMF2320601008272,3410,88,2026-02-01 02:00:00,2026-02-01 23:45:00,83.5000120352231,64.77194260461846,100.0,100.0,100.0
SMR2420668002032,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.5000118332859,81.5446569663036,100.0,100.0,100.0
SMR2220661020506,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,83.50000985121014,74.93903044024624,100.0,100.0,100.0
